"File","Line","Column","Severity","Rule","Message"
"hooks\useTeacherDashboard.ts","85","6","WARNING","react-hooks/exhaustive-deps","React Hook useEffect has a missing dependency: 'user'. Either include it or remove the dependency array."
"components\adaptive\ReviewSchedule.tsx","26","55","ERROR","react-hooks/purity","Error: Cannot call impure function during render

`Date.now` is an impure function. Calling an impure function can produce unstable results that update unpredictably when the component happens to re-render. (https://react.dev/reference/rules/components-and-hooks-must-be-pure#components-and-hooks-must-be-idempotent).

C:\Users\cr7ri\cs-platform-clean\components\adaptive\ReviewSchedule.tsx:26:55
  24 |       <div className=""mt-5 space-y-3"">
  25 |         {upcoming.map((topic) => {
> 26 |           const due = topic.nextReviewAt.getTime() <= Date.now();
     |                                                       ^^^^^^^^^^ Cannot call impure function
  27 |
  28 |           return (
  29 |             <div"
"app\admin\page.tsx","72","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\admin\page.tsx:72:7
  70 |
  71 |     if (!isAdmin) {
> 72 |       setRequests([]);
     |       ^^^^^^^^^^^ Avoid calling setState() directly within an effect
  73 |       setLoadingRequests(false);
  74 |       return;
  75 |     }"
"app\admin\teachers\[teacherId]\page.tsx","85","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\admin\teachers\[teacherId]\page.tsx:85:7
  83 |
  84 |     if (!isAdmin) {
> 85 |       setLoading(false);
     |       ^^^^^^^^^^ Avoid calling setState() directly within an effect
  86 |       return;
  87 |     }
  88 |"
"app\admin\teachers\page.tsx","56","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\admin\teachers\page.tsx:56:7
  54 |
  55 |     if (!isAdmin) {
> 56 |       setTeachers([]);
     |       ^^^^^^^^^^^ Avoid calling setState() directly within an effect
  57 |       setLoadingTeachers(false);
  58 |       return;
  59 |     }"
"app\assignments\[assignmentId]\page.tsx","160","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\assignments\[assignmentId]\page.tsx:160:10
  158 |
  159 |   useEffect(() => {
> 160 |     void loadAssignment();
      |          ^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  161 |   }, [loadAssignment]);
  162 |
  163 |   const overdue = useMemo(() => {"
"app\assignments\programming\page.tsx","421","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\assignments\programming\page.tsx:421:10
  419 |
  420 |   useEffect(() => {
> 421 |     void loadAssignments();
      |          ^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  422 |   }, [loadAssignments]);
  423 |
  424 |   const filteredAssignments ="
"app\profile\curriculum\page.tsx","81","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\profile\curriculum\page.tsx:81:7
  79 |       profile?.qualification === ""A_LEVEL""
  80 |     ) {
> 81 |       setQualification(profile.qualification);
     |       ^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  82 |     }
  83 |
  84 |     if ("
"app\quiz\page.tsx","220","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\quiz\page.tsx:220:7
  218 |
  219 |     if (!topicParam) {
> 220 |       setGeneratedQuiz(null);
      |       ^^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  221 |       setSelectedQuizId(
  222 |         null,
  223 |       );"
"app\resources\[resourceId]\page.tsx","199","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\resources\[resourceId]\page.tsx:199:10
  197 |
  198 |   useEffect(() => {
> 199 |     void loadResource();
      |          ^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  200 |   }, [loadResource]);
  201 |
  202 |   const sectionCount = resource?.content.sections.length ?? 0;"
"app\revision-plan\page.tsx","24","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\revision-plan\page.tsx:24:10
  22 |   }
  23 |   useEffect(() => {
> 24 |     void load();
     |          ^^^^ Avoid calling setState() directly within an effect
  25 |   }, [user?.uid]);
  26 |   if (loading)
  27 |     return ("
"app\teacher\analytics\page.tsx","116","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\analytics\page.tsx:116:7
  114 |
  115 |     if (!user?.uid) {
> 116 |       setCentre(emptyActionCentre);
      |       ^^^^^^^^^ Avoid calling setState() directly within an effect
  117 |       setLoading(false);
  118 |       return;
  119 |     }"
"app\teacher\assignments\[assignmentId]\page.tsx","243","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\assignments\[assignmentId]\page.tsx:243:10
  241 |
  242 |   useEffect(() => {
> 243 |     void loadAssignment();
      |          ^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  244 |   }, [loadAssignment]);
  245 |
  246 |   const completedRows = useMemo("
"app\teacher\assignments\page.tsx","460","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\assignments\page.tsx:460:10
  458 |     }
  459 |
> 460 |     void loadAssignments();
      |          ^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  461 |   }, [
  462 |     authLoading,
  463 |     profileReady,"
"app\teacher\assignment-wizard\page.tsx","76","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\assignment-wizard\page.tsx:76:7
  74 |
  75 |     if (!user) {
> 76 |       setClasses([]);
     |       ^^^^^^^^^^ Avoid calling setState() directly within an effect
  77 |       setLoadingClasses(false);
  78 |       return;
  79 |     }"
"app\teacher\classes\page.tsx","212","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\classes\page.tsx:212:10
  210 |     }
  211 |
> 212 |     void loadClasses();
      |          ^^^^^^^^^^^ Avoid calling setState() directly within an effect
  213 |   }, [
  214 |     authLoading,
  215 |     profileReady,"
"app\teacher\content\page.tsx","103","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\content\page.tsx:103:10
  101 |   useEffect(() => {
  102 |     if (authLoading || !profileReady) return;
> 103 |     void load();
      |          ^^^^ Avoid calling setState() directly within an effect
  104 |   }, [authLoading, profileReady, load]);
  105 |
  106 |   const qualifications = useMemo("
"app\teacher\exam-question-generator\page.tsx","126","5","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\exam-question-generator\page.tsx:126:5
  124 |     const requestedTotalMarks = Number(searchParams.get(""totalMarks"")) || 13;
  125 |
> 126 |     setSettings({
      |     ^^^^^^^^^^^ Avoid calling setState() directly within an effect
  127 |       topic: topic.trim(),
  128 |       qualification: searchParams.get(""qualification"") || ""GCSE"",
  129 |       examBoard: searchParams.get(""examBoard"") || ""AQA"","
"app\teacher\interventions\[interventionId]\page.tsx","35","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\interventions\[interventionId]\page.tsx:35:10
  33 |
  34 |   useEffect(() => {
> 35 |     void load();
     |          ^^^^ Avoid calling setState() directly within an effect
  36 |   }, [params.interventionId]);
  37 |
  38 |   if (loading) {"
"app\teacher\interventions\page.tsx","132","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\interventions\page.tsx:132:10
  130 |
  131 |   useEffect(() => {
> 132 |     void load();
      |          ^^^^ Avoid calling setState() directly within an effect
  133 |   }, [user?.uid]);
  134 |
  135 |   /*"
"app\teacher\interventions\page.tsx","163","9","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\interventions\page.tsx:163:9
  161 |     if (!requested) {
  162 |       if (requestedStudentName) {
> 163 |         setSearch(
      |         ^^^^^^^^^ Avoid calling setState() directly within an effect
  164 |           requestedStudentName,
  165 |         );
  166 |       }"
"app\teacher\programming-assignments\page.tsx","56","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\programming-assignments\page.tsx:56:10
  54 |
  55 |   useEffect(() => {
> 56 |     void loadAssignments();
     |          ^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  57 |   }, [loadAssignments]);
  58 |
  59 |   const filtered = useMemo(() => {"
"app\teacher\quiz-assignments\[assignmentId]\page.tsx","142","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\quiz-assignments\[assignmentId]\page.tsx:142:10
  140 |
  141 |   useEffect(() => {
> 142 |     void loadMarkbook();
      |          ^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  143 |   }, [loadMarkbook]);
  144 |
  145 |   const completedStudents = useMemo("
"app\teacher\quiz-assignments\page.tsx","120","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\quiz-assignments\page.tsx:120:10
  118 |
  119 |   useEffect(() => {
> 120 |     void loadAssignments();
      |          ^^^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  121 |   }, [loadAssignments]);
  122 |
  123 |   const filteredAssignments = useMemo(() => {"
"app\teacher\quiz-generator\page.tsx","282","5","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\quiz-generator\page.tsx:282:5
  280 |     }
  281 |
> 282 |     setSettings({
      |     ^^^^^^^^^^^ Avoid calling setState() directly within an effect
  283 |       topic: topic.trim(),
  284 |       qualification:
  285 |         searchParams.get(""qualification"")?.trim() ||"
"app\teacher\quiz-library\page.tsx","53","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\quiz-library\page.tsx:53:7
  51 |
  52 |     if (!user) {
> 53 |       setQuizzes([]);
     |       ^^^^^^^^^^ Avoid calling setState() directly within an effect
  54 |       setLoadingQuizzes(false);
  55 |       return;
  56 |     }"
"app\teacher\resources\[resourceId]\edit\page.tsx","327","12","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\resources\[resourceId]\edit\page.tsx:327:12
  325 |   useEffect(() => {
  326 |     if (!authLoading) {
> 327 |       void loadResource();
      |            ^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  328 |     }
  329 |   }, [authLoading, loadResource]);
  330 |"
"app\teacher\resources\[resourceId]\page.tsx","246","12","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\resources\[resourceId]\page.tsx:246:12
  244 |   useEffect(() => {
  245 |     if (!authLoading) {
> 246 |       void loadResource();
      |            ^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  247 |     }
  248 |   }, [authLoading, loadResource]);
  249 |"
"app\teacher\resources\page.tsx","292","12","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\resources\page.tsx:292:12
  290 |   useEffect(() => {
  291 |     if (!authLoading) {
> 292 |       void loadResources();
      |            ^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  293 |     }
  294 |   }, [authLoading, loadResources]);
  295 |"
"app\teacher\students\[studentId]\page.tsx","135","10","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\students\[studentId]\page.tsx:135:10
  133 |
  134 |   useEffect(() => {
> 135 |     void loadAnalytics();
      |          ^^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  136 |   }, [loadAnalytics]);
  137 |
  138 |   const sortedOutstanding = useMemo("
"app\teacher\students\page.tsx","459","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher\students\page.tsx:459:7
  457 |       !schoolId
  458 |     ) {
> 459 |       setMembers([]);
      |       ^^^^^^^^^^ Avoid calling setState() directly within an effect
  460 |       setProfiles(
  461 |         new Map(),
  462 |       );"
"app\teacher-access\page.tsx","82","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\app\teacher-access\page.tsx:82:7
  80 |       ""pending""
  81 |     ) {
> 82 |       setSubmitted(true);
     |       ^^^^^^^^^^^^ Avoid calling setState() directly within an effect
  83 |     }
  84 |
  85 |     if ("
"components\auth\ProtectedRoute.tsx","22","7","ERROR","react-hooks/set-state-in-effect","Error: Calling setState synchronously within an effect can trigger cascading renders

Effects are intended to synchronize state between React and external systems such as manually updating the DOM, state management libraries, or other platform APIs. In general, the body of an effect should do one or both of the following:
* Update external systems with the latest state from React.
* Subscribe for updates from some external system, calling setState in a callback function when external state changes.

Calling setState synchronously within an effect body causes cascading renders that can hurt performance, and is not recommended. (https://react.dev/learn/you-might-not-need-an-effect).

C:\Users\cr7ri\cs-platform-clean\components\auth\ProtectedRoute.tsx:22:7
  20 |       router.replace(""/login"");
  21 |     } else {
> 22 |       setChecked(true);
     |       ^^^^^^^^^^ Avoid calling setState() directly within an effect
  23 |     }
  24 |   }, [user, loading, router]);
  25 |"
